[2026-07-20T01:28:34.996Z] === Item Extractor Started ===
[2026-07-20T01:28:34.997Z] WS addEventListener hooked
[2026-07-20T01:50:26.027Z] WS send cmd=33086
[2026-07-20T01:50:37.093Z] WS send cmd=33086
[2026-07-20T01:50:41.114Z] WS send cmd=38206
[2026-07-20T01:50:48.157Z] WS send cmd=33086
[2026-07-20T01:50:59.230Z] WS send cmd=33086
[2026-07-20T01:51:10.291Z] WS send cmd=33086
[2026-07-20T01:51:11.296Z] WS send cmd=38206
[2026-07-20T01:51:21.358Z] WS send cmd=33086
[2026-07-20T01:51:32.425Z] WS send cmd=33086
[2026-07-20T01:51:41.481Z] WS send cmd=38206
[2026-07-20T01:51:43.495Z] WS send cmd=33086
[2026-07-20T01:51:54.569Z] WS send cmd=33086
[2026-07-20T01:52:05.639Z] WS send cmd=33086
[2026-07-20T01:52:11.679Z] WS send cmd=38206
[2026-07-20T01:52:16.722Z] WS send cmd=33086
[2026-07-20T01:52:27.797Z] WS send cmd=33086
[2026-07-20T01:52:38.860Z] WS send cmd=33086
[2026-07-20T01:52:41.879Z] WS send cmd=38206
[2026-07-20T01:52:49.931Z] WS send cmd=33086
[2026-07-20T01:53:01.000Z] WS send cmd=33086
[2026-07-20T01:53:12.062Z] WS send cmd=38206
[2026-07-20T01:53:12.063Z] WS send cmd=33086
[2026-07-20T01:53:23.134Z] WS send cmd=33086
[2026-07-20T01:53:34.201Z] WS send cmd=33086
[2026-07-20T01:53:42.253Z] WS send cmd=38206
[2026-07-20T01:53:45.271Z] WS send cmd=33086
[2026-07-20T01:53:56.336Z] WS send cmd=33086
[2026-07-20T01:54:07.410Z] WS send cmd=33086
[2026-07-20T01:54:12.453Z] WS send cmd=38206
[2026-07-20T01:54:18.490Z] WS send cmd=33086
[2026-07-20T01:54:29.560Z] WS send cmd=33086
[2026-07-20T01:54:40.625Z] WS send cmd=33086
[2026-07-20T01:54:42.638Z] WS send cmd=38206
[2026-07-20T01:54:51.695Z] WS send cmd=33086
[2026-07-20T01:55:02.765Z] WS send cmd=33086
[2026-07-20T01:55:12.829Z] WS send cmd=38206
[2026-07-20T01:55:13.836Z] WS send cmd=33086
[2026-07-20T01:55:24.899Z] WS send cmd=33086
[2026-07-20T01:55:35.965Z] WS send cmd=33086
[2026-07-20T01:55:43.008Z] WS send cmd=38206
[2026-07-20T01:55:47.035Z] WS send cmd=33086
[2026-07-20T01:55:58.115Z] WS send cmd=33086
[2026-07-20T01:56:09.181Z] WS send cmd=33086
[2026-07-20T01:56:13.210Z] WS send cmd=38206
[2026-07-20T01:56:20.254Z] WS send cmd=33086
[2026-07-20T01:56:31.320Z] WS send cmd=33086
[2026-07-20T01:56:42.386Z] WS send cmd=33086
[2026-07-20T01:56:43.393Z] WS send cmd=38206
[2026-07-20T01:56:53.449Z] WS send cmd=33086
[2026-07-20T01:57:04.508Z] WS send cmd=33086
[2026-07-20T01:57:13.556Z] WS send cmd=38206
[2026-07-20T01:57:15.567Z] WS send cmd=33086
[2026-07-20T01:57:26.635Z] WS send cmd=33086
[2026-07-20T01:57:37.701Z] WS send cmd=33086
[2026-07-20T01:57:43.739Z] WS send cmd=38206
[2026-07-20T01:57:48.769Z] WS send cmd=33086
[2026-07-20T01:57:59.846Z] WS send cmd=33086
[2026-07-20T01:58:10.915Z] WS send cmd=33086
[2026-07-20T01:58:13.936Z] WS send cmd=38206
[2026-07-20T01:58:21.989Z] WS send cmd=33086
[2026-07-20T01:58:33.053Z] WS send cmd=33086
[2026-07-20T01:58:44.120Z] WS send cmd=38206
[2026-07-20T01:58:44.120Z] WS send cmd=33086
[2026-07-20T01:58:55.182Z] WS send cmd=33086
[2026-07-20T01:59:06.241Z] WS send cmd=33086
[2026-07-20T01:59:14.291Z] WS send cmd=38206
[2026-07-20T01:59:17.309Z] WS send cmd=33086
[2026-07-20T01:59:28.378Z] WS send cmd=33086
[2026-07-20T01:59:39.454Z] WS send cmd=33086
[2026-07-20T01:59:44.488Z] WS send cmd=38206
[2026-07-20T01:59:50.530Z] WS send cmd=33086
[2026-07-20T02:00:01.613Z] WS send cmd=33086
[2026-07-20T02:00:12.685Z] WS send cmd=33086
[2026-07-20T02:00:14.696Z] WS send cmd=38206
[2026-07-20T02:00:23.749Z] WS send cmd=33086
[2026-07-20T02:00:34.820Z] WS send cmd=33086
[2026-07-20T02:00:44.877Z] WS send cmd=38206
[2026-07-20T02:00:45.883Z] WS send cmd=33086
[2026-07-20T02:00:56.950Z] WS send cmd=33086
[2026-07-20T02:01:08.005Z] WS send cmd=33086
[2026-07-20T02:01:15.035Z] WS send cmd=38206
[2026-07-20T02:01:19.057Z] WS send cmd=33086
[2026-07-20T02:01:30.108Z] WS send cmd=33086
[2026-07-20T02:01:41.170Z] WS send cmd=33086
[2026-07-20T02:01:45.189Z] WS send cmd=38206
[2026-07-20T02:01:52.224Z] WS send cmd=33086
[2026-07-20T02:02:03.277Z] WS send cmd=33086
[2026-07-20T02:02:14.334Z] WS send cmd=33086
[2026-07-20T02:02:15.338Z] WS send cmd=38206
[2026-07-20T02:02:25.391Z] WS send cmd=33086
[2026-07-20T02:02:36.460Z] WS send cmd=33086
[2026-07-20T02:02:45.511Z] WS send cmd=38206
[2026-07-20T02:02:47.521Z] WS send cmd=33086
[2026-07-20T02:02:58.585Z] WS send cmd=33086
[2026-07-20T02:03:09.648Z] WS send cmd=33086
[2026-07-20T02:03:15.684Z] WS send cmd=38206
[2026-07-20T02:03:20.710Z] WS send cmd=33086
[2026-07-20T02:03:31.771Z] WS send cmd=33086
[2026-07-20T02:03:42.835Z] WS send cmd=33086
[2026-07-20T02:03:45.853Z] WS send cmd=38206
[2026-07-20T02:03:53.898Z] WS send cmd=33086
[2026-07-20T02:04:04.979Z] WS send cmd=33086
[2026-07-20T02:04:16.042Z] WS send cmd=38206
[2026-07-20T02:04:16.042Z] WS send cmd=33086
[2026-07-20T02:04:27.110Z] WS send cmd=33086
[2026-07-20T02:04:38.177Z] WS send cmd=33086
[2026-07-20T02:04:46.227Z] WS send cmd=38206
[2026-07-20T02:04:49.245Z] WS send cmd=33086
[2026-07-20T02:05:00.306Z] WS send cmd=33086
[2026-07-20T02:05:11.370Z] WS send cmd=33086
[2026-07-20T02:05:16.401Z] WS send cmd=38206
[2026-07-20T02:05:22.433Z] WS send cmd=33086
[2026-07-20T02:05:33.500Z] WS send cmd=33086
[2026-07-20T02:05:44.562Z] WS send cmd=33086
[2026-07-20T02:05:46.575Z] WS send cmd=38206
[2026-07-20T02:05:55.633Z] WS send cmd=33086
[2026-07-20T02:06:06.709Z] WS send cmd=33086
[2026-07-20T02:06:16.766Z] WS send cmd=38206
[2026-07-20T02:06:17.774Z] WS send cmd=33086
[2026-07-20T02:06:28.851Z] WS send cmd=33086
[2026-07-20T02:06:39.915Z] WS send cmd=33086
[2026-07-20T02:06:46.957Z] WS send cmd=38206
[2026-07-20T02:06:50.980Z] WS send cmd=33086
[2026-07-20T02:07:02.044Z] WS send cmd=33086
[2026-07-20T02:07:13.113Z] WS send cmd=33086
[2026-07-20T02:07:17.138Z] WS send cmd=38206
[2026-07-20T02:07:24.175Z] WS send cmd=33086
[2026-07-20T02:07:35.244Z] WS send cmd=33086
[2026-07-20T02:07:46.308Z] WS send cmd=33086
[2026-07-20T02:07:47.314Z] WS send cmd=38206
[2026-07-20T02:07:57.376Z] WS send cmd=33086
[2026-07-20T02:08:08.455Z] WS send cmd=33086
[2026-07-20T02:08:17.508Z] WS send cmd=38206
[2026-07-20T02:08:19.519Z] WS send cmd=33086
[2026-07-20T02:08:30.584Z] WS send cmd=33086
[2026-07-20T02:08:41.658Z] WS send cmd=33086
[2026-07-20T02:08:47.699Z] WS send cmd=38206
[2026-07-20T02:08:52.741Z] WS send cmd=33086
[2026-07-20T02:09:03.805Z] WS send cmd=33086
